ExperimentId,inputIndex,PTSD,PTSDImageArousalSubscale,CognitiveControlOverEmotion,Stress,Depression,ExecutiveScore,Neuroticism,BaseImageDominance,BaseImageArousal,BaseImageValence,NightmareDistress,NightmareEffects,NightmareFrequency,DASSAnxiety,FearExtinctionFailureThreshold,BaseFearExtinctionAttemptThreshold,LogNightmareFrequency,ptsdOffset,ptsdIASOffset,ccoeOffset,stressOffset,depressionOffset,executivescoreOffset,neuroticismOffset,dominanceOffset,arousalOffset,valenceOffset,scalingOffset,stopHour
98,97,0.061599999999999995,0.0,0.7550370370370372,0.5775,0.13141176470588234,0.29533333333333334,0.3524999999999999,0.0,0.0305,-1.307195,0.22,0.07875492595349745,0.123,0.06941225131170445,0.25,0.5,-Infinity,0.464,0.348,0.187,0.374,0.474,0.188,0.449,0.453,0.231,0.221,0.25,341.0
72,71,0.015399999999999999,0.0,0.7065555555555556,0.493,0.10199999999999998,0.31883333333333336,0.7224999999999999,0.3566666666666667,0.244,-1.358678,0.22,0.08043146247551915,0.123,0.09797708279660011,0.25,0.5,-Infinity,0.464,0.348,0.187,0.374,0.474,0.188,0.449,0.453,0.231,0.221,0.25,341.0
113,112,0.0462,0.0,0.7273333333333334,0.493,0.1608235294117647,0.16999999999999998,0.25999999999999995,0.535,0.305,-1.393,0.22,0.08005524018535262,0.123,0.08164924183529411,0.25,0.5,-Infinity,0.464,0.348,0.187,0.374,0.474,0.188,0.449,0.453,0.231,0.221,0.25,341.0
117,116,0.1694,0.043647058823529414,0.768888888888889,0.493,0.10199999999999998,0.2718333333333333,0.3524999999999999,0.2972222222222223,0.183,-1.358678,0.22,0.08047414990650945,0.123,0.07833830868722545,0.25,0.5,-Infinity,0.464,0.348,0.187,0.374,0.474,0.188,0.449,0.453,0.231,0.221,0.25,341.0
100,99,0.0,0.0,0.7204074074074075,0.5211666666666667,0.13141176470588234,0.1935,0.44499999999999995,0.23777777777777778,0.1525,-1.324356,0.22,0.07899470126220029,0.123,0.08121995182386675,0.25,0.5,-Infinity,0.464,0.348,0.187,0.374,0.474,0.188,0.449,0.453,0.231,0.221,0.25,341.0
12,11,0.8161999999999999,0.3055294117647059,0.5680370370370371,0.9155,0.36670588235294116,0.405,0.815,0.47555555555555556,0.2745,-1.375839,0.22,0.21363097104136258,0.12932258064516128,0.15882090298707133,0.25,0.5,1.0697396898147833,0.464,0.348,0.187,0.374,0.474,0.188,0.449,0.453,0.231,0.221,0.25,341.0
15,14,0.4158,0.15276470588235294,0.6442222222222223,0.7464999999999999,0.45494117647058824,0.1935,0.7224999999999999,0.535,0.305,-1.393,0.22228516614224778,0.20374514380105074,0.14196774193548387,0.16052937948684784,0.25,0.5,1.5468609445344457,0.464,0.348,0.187,0.374,0.474,0.188,0.449,0.453,0.231,0.221,0.25,341.0
106,105,0.0462,0.0,0.7204074074074075,0.5775,0.10199999999999998,0.217,0.7224999999999999,0.0,0.0305,-1.324356,0.22,0.07911600399813387,0.123,0.07413376474346643,0.25,0.5,-Infinity,0.464,0.348,0.187,0.374,0.474,0.188,0.449,0.453,0.231,0.221,0.25,341.0
54,53,0.1848,0.06547058823529413,0.768888888888889,0.5493333333333333,0.27847058823529414,0.31883333333333336,0.44499999999999995,0.2972222222222223,0.183,-1.375839,0.22,0.08304285534449596,0.123,0.09456569838647275,0.25,0.5,-Infinity,0.464,0.348,0.187,0.374,0.474,0.188,0.449,0.453,0.231,0.221,0.25,341.0
107,106,0.061599999999999995,0.043647058823529414,0.8035185185185185,0.493,0.10199999999999998,0.17783333333333334,0.44499999999999995,0.47555555555555556,0.305,-1.393,0.22,0.08102753005643805,0.123,0.09126329844205255,0.25,0.5,-Infinity,0.464,0.348,0.187,0.374,0.474,0.188,0.449,0.453,0.231,0.221,0.25,341.0
